name,url,contributors,created_at,license,readme
www_furuhashiab_com,https://github.com/furuhashilab/www_furuhashiab_com,mapconcierge;Karin1129;MayumiOkazaki,2015-05-25,Unlicense,
AEDmap,https://github.com/furuhashilab/AEDmap,mapconcierge,2015-07-09,NOASSERTION,
HowToMakeFreeCulture,https://github.com/furuhashilab/HowToMakeFreeCulture,mapconcierge;fullfull;sattochii;wam0,2015-07-09,NOASSERTION,"Guidebook - How To Make the Free Culture\n====================\n\nフリーカルチャーをつくるためのガイドブック\nHow To Make the Free Culture\n\nCopyright©2012 by Dominique Chen, CC Attribution-NonCommercial-ShareAlike 2.1 Japan Printed in Japan\n\n<img src=""https://raw.githubusercontent.com/mapconcierge/HowToMakeFreeCulture/master/img/HowToMakeFreeCulture.png"" />\n\nAmazon -> http://goo.gl/yFmGSE\n\n\nフリーカルチャーをつくるためのガイドブック\n\nクリエイティブ・コモンズによる創造の循環\n\n\n2012年5月30日 初版発行/First Edition\n\n\n著者 ドミニク・チェン 装幀 戸塚泰雄\n\n発行者 籔内康一\n\n発行所 株式会社フィルムアート社\n\n〒一五〇–〇〇二二\n\n東京都渋谷区恵比寿南 丁目 番 号第 荒井ビル\n\n〇三–五七二五–二〇〇一 〇三–五七二五–二六二六\n\n\nhttp://www.filmart.co.jp\n\n\n印刷・製本 シナノ印刷株式会社\n\n\nCopyright©2012 by Dominique Chen\nCC Attribution-NonCommercial-ShareAlike 2.1 Japan Printed in Japan\nISBN 978-4-8459-1174-5 C0036\n\n<img src=""https://raw.githubusercontent.com/mapconcierge/HowToMakeFreeCulture/master/img/HowToMakeFreeCulture_copyrights.png"" />\n\n\n授業\n\n"
FreshersSeminar2015,https://github.com/furuhashilab/FreshersSeminar2015,mapconcierge,2015-10-07,NOASSERTION,"# FreshersSeminar2015\n青山学院大学 フレッシャーズセミナー２０１５\n\n**AGU Indoor Mapping**\n\n* memo: https://hackpad.com/-Indoor-Mapping--vObpO1kWjMk\n* data: https://github.com/furuhashilab/FreshersSeminar2015/issues/1\n* OSMwiki: https://wiki.openstreetmap.org/wiki/AGU_Indoor_Mapping\n\n\n**AGU Building Element View**\n* memo: https://hackpad.com/AGU-Building-Element-Viewer-EWGg3hK3JFx\n* data: https://github.com/furuhashilab/FreshersSeminar2015/issues/4\n\n**AGU Drone Aerial Research**\n\n* memo: https://hackpad.com/-AGU-Drone-Aerial-Research--cPAibpRMxEH\n* data: https://github.com/furuhashilab/FreshersSeminar2015/issues/2\n* https://wiki.openstreetmap.org/wiki/AGU_Drone_Aerial_Research\n\n**AGU StreetView**\n\n* memo: https://hackpad.com/AGU-streetview-c9wjhaXIYet\n* data: https://github.com/furuhashilab/FreshersSeminar2015/issues/5\n* OSMwiki: https://wiki.openstreetmap.org/wiki/AGU_StreetView\n\n*© Furuhashi Lab, AoyamaGakuin, CC BY 4.0*\n"
network2016tmu,https://github.com/furuhashilab/network2016tmu,mapconcierge,2016-05-20,CC0-1.0,# network2016tmu\n首都大学東京 ネットワーク演習\n
git-it-electron,https://github.com/furuhashilab/git-it-electron,jlord;muan;shiftkey;IonicaBizau;zeke;jarekk78;lbragaglia;execat;danieldrasdo;frbk;djtal;jpmartha;jarwino;keitaito;kohei-takata;LizzHale;martinheidegger;mgriffin;anaisbetts;stdavis;mofeing;mbigras;tai2,2016-07-13,BSD-2-Clause,
KMLsamples,https://github.com/furuhashilab/KMLsamples,mapconcierge,2016-09-16,Unlicense,# KMLsamples\nKMLサンプル置き場\n
mapping,https://github.com/furuhashilab/mapping,mapconcierge,2016-10-27,Unlicense,# mapping\n古橋ゼミ関連のマッピング作業用リポジトリ\n\n\n\n## 普段の作業はIssueで行っています。\nhttps://github.com/furuhashilab/mapping/issues\n\n\n
keynote20160119_Ingress_Aomaly,https://github.com/furuhashilab/keynote20160119_Ingress_Aomaly,mapconcierge,2017-01-23,NOASSERTION,
cesiumGitHubPages,https://github.com/furuhashilab/cesiumGitHubPages,hwtnv;mapconcierge,2017-06-12,NOASSERTION,"富士山「動物交通事故死」マップ\n======================\n富士山麓で起きた野生動物の交通事故の場所と動物の種類のマップです。[富士山アウトドアミュージアム](https://www.facebook.com/fom3776)が収集したデータを元に、[首都大学東京渡邉英徳研究室](http://labo.wtnv.jp)がコンテンツを制作しました。\n\n首都大学東京の授業教材として用いている以下のリポジトリを元にしています。\n\n+ [Cesiumを使ったKML可視化のサンプル](https://github.com/wtnv-lab/cesiumGitHubPages ""Cesiumを使ったKML可視化のサンプル"")\n\nKmlDataSourceをCzmlDataSourceに変更するなどの改造を施しています。ご興味のあるかたは参考リンクの[Cesium](http://cesiumjs.org/ ""Cesium"")にあるリファレンスをご覧ください。\n\n### 使い方\n\n視点移動、ジオコーディング、ImageryLayerの切り替え、ストリートビュー起動、ヘルプ起動の各機能が実装されています。\n\n+ 視点移動・GitHubへのリンク：左上のメニューボタン\n+ ジオコーディング：左上のフォーム\n+ レイヤ切り替え：右上のパラメータボタン\n+ ヘルプ起動：右上の「？」ボタン\n\n### 参考リンク\n\n1. [公式ウェブサイト](http://animal.mapping.jp/ ""富士山「動物交通事故死」マップ"")\n2. [GitHub Pagesでの閲覧](http://hwtnv.github.io/cesiumGitHubPages/ ""富士山「動物交通事故死」マップ"")\n3. [Cesium](http://cesiumjs.org/ ""Cesium"")\n\n### ライセンス\n\n首都大学東京 渡邉英徳研究室✕富士山アウトドアミュージアム 作『富士山「動物交通事故死」マップ』はクリエイティブ・コモンズ 表示 - 非営利 - 継承 4.0 国際 ライセンスで提供されています。\n\n+ [CC BY-NC-SA 4.0](http://creativecommons.org/licenses/by-nc-sa/4.0/)\n"
